datetime,temperature,humidity,sea_level_pressure,wind_direction_deg,wind_speed,station_name
2025-09-12 00:00:00,15.0,53,1023.7,100,2,CORDOBA OBSERVATORIO
2025-09-12 01:00:00,14.4,56,1025.3,300,6,CORDOBA OBSERVATORIO
2025-09-12 02:00:00,13.2,62,1026.5,290,6,CORDOBA OBSERVATORIO
2025-09-12 03:00:00,12.6,61,1026.8,280,4,CORDOBA OBSERVATORIO
2025-09-12 04:00:00,10.8,73,1026.0,240,4,CORDOBA OBSERVATORIO
2025-09-12 05:00:00,10.6,70,1025.9,190,4,CORDOBA OBSERVATORIO
2025-09-12 06:00:00,9.2,69,1025.4,290,4,CORDOBA OBSERVATORIO
2025-09-12 07:00:00,8.8,71,1026.3,300,2,CORDOBA OBSERVATORIO
2025-09-12 08:00:00,9.2,69,1027.0,290,4,CORDOBA OBSERVATORIO
2025-09-12 09:00:00,14.2,52,1026.8,270,2,CORDOBA OBSERVATORIO
2025-09-12 10:00:00,19.4,41,1026.6,50,2,CORDOBA OBSERVATORIO
2025-09-12 11:00:00,22.4,29,1026.2,50,4,CORDOBA OBSERVATORIO
2025-09-12 12:00:00,24.0,27,1025.3,110,6,CORDOBA OBSERVATORIO
2025-09-12 13:00:00,24.6,22,1025.2,20,6,CORDOBA OBSERVATORIO
2025-09-12 14:00:00,25.0,22,1023.5,90,7,CORDOBA OBSERVATORIO
2025-09-12 15:00:00,25.4,20,1022.2,50,7,CORDOBA OBSERVATORIO
2025-09-12 16:00:00,25.4,19,1021.4,50,7,CORDOBA OBSERVATORIO
2025-09-12 17:00:00,25.0,19,1020.9,50,7,CORDOBA OBSERVATORIO
2025-09-12 18:00:00,24.0,21,1021.2,90,15,CORDOBA OBSERVATORIO
2025-09-12 19:00:00,21.8,29,1021.3,50,7,CORDOBA OBSERVATORIO
2025-09-12 20:00:00,20.2,34,1021.9,50,7,CORDOBA OBSERVATORIO
2025-09-12 21:00:00,18.8,37,1022.1,40,7,CORDOBA OBSERVATORIO
2025-09-12 22:00:00,16.8,42,1022.3,80,7,CORDOBA OBSERVATORIO
2025-09-12 23:00:00,16.4,45,1022.4,350,7,CORDOBA OBSERVATORIO
